id,neighbourhood_group_cleansed,room_type,instant_bookable,accommodates,bathrooms,bedrooms,beds,host_total_listings_count,distance_to_center,price,ln_price
40824219,Queens,Private room,False,1,1.0,1.0,1.0,3.0,5.846824091093865,66.0,4.204692619390966
40839416,Manhattan,Private room,False,1,2.0,1.0,1.0,16.0,4.068794976436427,76.0,4.343805421853684
40843980,Queens,Entire home/apt,False,6,1.0,2.0,3.0,2.0,14.496831958159346,97.0,4.584967478670572
40824301,Brooklyn,Private room,False,1,1.0,2.0,1.0,1.0,6.134544067066678,60.0,4.110873864173311
40825740,Brooklyn,Entire home/apt,False,6,4.0,3.0,3.0,9.0,10.045622631296888,425.0,6.054439346269371
2595,Manhattan,Entire home/apt,False,1,1.0,0.0,1.0,9.0,0.49376367787499154,240.0,5.484796933490655
6848,Brooklyn,Entire home/apt,False,3,1.0,2.0,1.0,1.0,6.047340816677571,96.0,4.574710978503383
6872,Manhattan,Private room,False,1,1.0,1.0,1.0,2.0,6.001197116775946,59.0,4.0943445622221
6990,Manhattan,Private room,False,1,1.0,2.0,2.0,6.0,4.599597969683407,73.0,4.30406509320417
7097,Brooklyn,Private room,True,2,1.0,1.0,2.0,3.0,7.410405357711374,216.0,5.37989735354046
40846105,Queens,Private room,False,1,1.0,1.0,1.0,8.0,9.014122059445134,83.0,4.430816798843313
40861640,Manhattan,Entire home/apt,True,4,1.0,1.0,2.0,35.0,1.0927802368272737,420.0,6.042632833682381
40869871,Manhattan,Entire home/apt,True,2,1.0,1.0,1.0,771.0,5.8461923750936675,448.0,6.1070228877422545
40873866,Brooklyn,Private room,True,2,2.0,1.0,1.0,28.0,13.408989020371767,99.0,4.605170185988092
40874667,Brooklyn,Private room,True,2,2.0,1.0,1.0,28.0,13.586297275834747,90.0,4.51085950651685
8490,Brooklyn,Entire home/apt,False,5,1.0,1.0,4.0,3.0,9.03515814793642,170.0,5.14166355650266
9357,Manhattan,Entire home/apt,False,2,1.0,,1.0,1.0,1.031917457917001,175.0,5.170483995038151
10452,Brooklyn,Private room,False,2,1.0,1.0,2.0,6.0,8.689215523513637,90.0,4.51085950651685
12937,Queens,Private room,True,3,1.0,1.0,2.0,1.0,3.5466475584971744,232.0,5.4510384535657
12940,Brooklyn,Entire home/apt,False,2,1.0,1.0,1.0,7.0,9.123669492175859,151.0,5.0238805208462765
14314,Brooklyn,Entire home/apt,False,2,1.0,1.0,2.0,2.0,3.5477035180201377,115.0,4.7535901911063645
40887882,Manhattan,Entire home/apt,False,4,1.0,2.0,3.0,85.0,3.995252538612322,155.0,5.049856007249537
40889145,Brooklyn,Entire home/apt,False,4,1.0,1.0,2.0,6.0,13.054087934825544,170.0,5.14166355650266
16338,Brooklyn,Private room,False,1,1.0,1.0,2.0,3.0,7.571054605392399,57.0,4.060443010546419
16580,Manhattan,Private room,False,1,1.0,1.0,1.0,2.0,3.8896782134555967,227.0,5.429345628954441
16821,Manhattan,Private room,False,1,1.0,1.0,1.0,4.0,3.9131672286804986,202.0,5.313205979041787
18728,Manhattan,Private room,True,3,1.5,1.0,1.0,2.0,2.2880658783904986,151.0,5.0238805208462765
40891496,Brooklyn,Entire home/apt,False,5,3.0,2.0,2.0,2.0,7.992703829346721,444.0,6.09807428216624
19174,Manhattan,Entire home/apt,False,4,1.0,1.0,3.0,2.0,2.5164217459763063,200.0,5.303304908059076
19812,Brooklyn,Entire home/apt,False,2,1.0,1.0,2.0,1.0,5.043032271392525,95.0,4.564348191467836
21456,Manhattan,Private room,False,2,1.0,1.0,0.0,3.0,5.021726790745002,112.0,4.727387818712341
21794,Manhattan,Private room,False,2,1.0,1.0,1.0,3.0,2.2810117104273346,85.0,4.454347296253507
23545,Manhattan,Entire home/apt,False,2,1.0,1.0,2.0,3.0,8.322790343812262,200.0,5.303304908059076
24285,Brooklyn,Entire home/apt,False,5,3.0,3.0,7.0,1.0,9.667372438257194,201.0,5.308267697401205
40896611,Manhattan,Entire home/apt,False,2,1.0,0.0,1.0,387.0,1.082209487046836,169.0,5.135798437050262
60666,Manhattan,Private room,False,2,1.5,1.0,2.0,9.0,6.6933690985409156,60.0,4.110873864173311
60680,Manhattan,Entire home/apt,True,6,1.0,1.0,2.0,13.0,3.5929250018048533,150.0,5.017279836814924
26785,Brooklyn,Entire home/apt,False,2,1.0,1.0,3.0,3.0,9.941895754732776,90.0,4.51085950651685
29013,Brooklyn,Private room,False,2,1.0,1.0,1.0,6.0,8.704106095755419,90.0,4.51085950651685
29628,Brooklyn,Private room,True,2,1.0,1.0,1.0,1.0,8.546285463809598,149.0,5.0106352940962555
31130,Manhattan,Entire home/apt,False,1,1.0,1.0,1.0,6.0,1.0255542388362657,170.0,5.14166355650266
31994,Brooklyn,Private room,True,2,1.0,1.0,1.0,3.0,7.975513519719833,122.0,4.812184355372417
61406,Manhattan,Private room,False,1,1.5,1.0,1.0,10.0,5.644291222086557,75.0,4.330733340286331
62925,Brooklyn,Entire home/apt,False,4,2.0,1.0,1.0,4.0,4.145113220403822,285.0,5.655991810819852
63610,Bronx,Private room,False,3,1.0,1.0,1.0,21.0,18.633672928048306,125.0,4.836281906951478
39282,Brooklyn,Private room,False,2,1.0,1.0,1.0,2.0,6.019220828625501,147.0,4.997212273764115
64314,Brooklyn,Private room,True,2,1.0,1.0,1.0,2.0,9.52336439728113,72.0,4.290459441148391
64365,Brooklyn,Private room,False,2,1.0,1.0,1.0,4.0,9.599798630528968,57.0,4.060443010546419
65660,Brooklyn,Entire home/apt,False,3,1.0,1.0,1.0,2.0,6.40111642197145,108.0,4.6913478822291435
66008,Brooklyn,Entire home/apt,False,4,1.0,2.0,2.0,1.0,8.66690676042361,225.0,5.420534999272286
66251,Manhattan,Entire home/apt,False,2,1.0,0.0,1.0,2.0,3.617638041296798,349.0,5.857933154483459
66974,Brooklyn,Entire home/apt,False,2,1.0,1.0,1.0,2.0,8.587961883968823,209.0,5.3471075307174685
42300,Manhattan,Entire home/apt,False,5,2.0,3.0,4.0,2.0,4.266092407301565,563.0,6.335054251498059
42729,Brooklyn,Private room,False,2,1.0,1.0,1.0,13.0,8.972090990345185,254.0,5.541263545158426
44229,Brooklyn,Private room,False,2,1.0,1.0,1.0,5.0,7.343362712371724,110.0,4.709530201312334
45910,Queens,Entire home/apt,False,16,2.5,5.0,9.0,11.0,9.467488436854293,428.0,6.061456918928017
45935,Bronx,Private room,True,1,1.0,1.0,1.0,2.0,7.581571030450434,60.0,4.110873864173311
45936,Manhattan,Private room,False,2,1.0,1.0,1.0,2.0,5.788664766338113,99.0,4.605170185988092
46911,Brooklyn,Private room,False,2,1.0,1.0,1.0,3.0,8.710604248727288,86.0,4.465908118654584
49048,Brooklyn,Private room,False,3,2.0,1.0,2.0,6.0,8.689049905372878,95.0,4.564348191467836
67299,Brooklyn,Entire home/apt,False,4,1.0,1.0,2.0,2.0,5.082158245778186,180.0,5.198497031265826
68735,Manhattan,Entire home/apt,False,2,1.0,1.0,1.0,1.0,3.5093842001828732,190.0,5.25227342804663
74680,Queens,Private room,False,3,1.0,1.0,2.0,3.0,4.759774553148385,119.0,4.787491742782046
75635,Manhattan,Entire home/apt,False,2,1.0,0.0,1.0,1.0,4.698401161668947,154.0,5.043425116919247
52689,Queens,Private room,False,2,1.0,2.0,2.0,2.0,7.0375172768443885,170.0,5.14166355650266
53469,Queens,Entire home/apt,False,4,1.0,1.0,1.0,11.0,10.175943787511468,117.0,4.770684624465665
53470,Queens,Entire home/apt,False,7,1.0,2.0,3.0,11.0,9.507573885236877,224.0,5.41610040220442
53477,Queens,Entire home/apt,False,12,2.0,4.0,8.0,11.0,10.166176256525612,299.0,5.703782474656201
54466,Manhattan,Private room,False,2,1.0,1.0,1.0,1.0,5.4671019194504265,172.0,5.153291594497779
54508,Brooklyn,Private room,False,2,1.5,1.0,1.0,3.0,8.841306455694792,107.0,4.68213122712422
54860,Manhattan,Private room,False,2,1.0,1.0,1.0,1.0,5.858764771772382,125.0,4.836281906951478
55959,Brooklyn,Private room,False,1,1.0,1.0,1.0,2.0,6.01953356541153,145.0,4.983606621708336
75658,Brooklyn,Private room,False,2,1.0,1.0,1.0,1.0,7.41164751209366,222.0,5.407171771460119
80684,Brooklyn,Hotel room,False,4,1.0,1.0,2.0,40.0,3.5259685623966046,513.0,6.2422232654551655
80700,Brooklyn,Private room,False,4,1.0,1.0,2.0,40.0,3.500620820740733,428.0,6.061456918928017
57166,Queens,Entire home/apt,False,3,1.0,1.0,2.0,19.0,6.879866500876308,105.0,4.663439094112067
57297,Brooklyn,Private room,False,2,1.0,1.0,1.0,5.0,7.587035270743204,292.0,5.680172609017068
57874,Manhattan,Entire home/apt,False,2,1.0,1.0,1.0,2.0,6.6669829247534915,116.0,4.762173934797756
58059,Manhattan,Private room,False,2,1.5,1.0,1.0,2.0,8.092064191751469,44.0,3.8066624897703196
59014,Manhattan,Entire home/apt,False,2,1.0,1.0,2.0,1.0,4.286138242619316,150.0,5.017279836814924
81739,Brooklyn,Private room,False,4,1.0,1.0,2.0,40.0,3.500620820740733,428.0,6.061456918928017
82928,Brooklyn,Entire home/apt,False,5,1.0,2.0,3.0,1.0,8.884405367075468,165.0,5.111987788356544
83243,Brooklyn,Entire home/apt,False,3,1.0,1.0,2.0,6.0,9.67446785236895,73.0,4.30406509320417
83474,Brooklyn,Private room,False,1,1.5,1.0,1.0,4.0,7.414503041341045,166.0,5.117993812416755
84010,Brooklyn,Hotel room,False,2,1.0,1.0,1.0,40.0,3.500620820740733,381.0,5.945420608606575
93313,Brooklyn,Entire home/apt,True,5,1.0,2.0,4.0,3.0,9.078772502978092,165.0,5.111987788356544
94783,Brooklyn,Entire home/apt,False,2,1.0,1.0,1.0,1.0,9.728307430365374,163.0,5.099866427824199
59121,Queens,Entire home/apt,False,9,1.0,3.0,6.0,11.0,9.51601656115701,223.0,5.4116460518550396
