,accommodates,price,host_total_listings_count,review_scores_rating,latitude,longitude,availability_365,distance_to_center,instant_bookable,room_type
0,1.0,66.0,3.0,4.81,40.74698,-73.91763,77,8.364947928189553,f,Private room
4,1.0,76.0,16.0,4.95,40.72147,-73.9827,168,2.1922701559357844,f,Private room
5,6.0,97.0,2.0,4.14,40.6823,-73.84545,364,13.952708566423963,f,Entire home/apt
7,1.0,60.0,1.0,4.92,40.713163020317545,-73.94307731925448,187,5.304895967033594,f,Private room
8,6.0,425.0,9.0,5.0,40.67412,-73.94123,224,6.947175141612469,f,Entire home/apt
9,1.0,240.0,9.0,4.68,40.75356,-73.98559,289,4.855529925849048,f,Entire home/apt
10,3.0,96.0,1.0,4.59,40.70935,-73.95342,285,4.448962377142888,f,Entire home/apt
11,1.0,59.0,2.0,5.0,40.80107,-73.94255,83,11.183468956691444,f,Private room
12,1.0,73.0,6.0,4.88,40.78778,-73.94759,186,9.688516598070096,f,Private room
14,2.0,216.0,3.0,4.89,40.69194,-73.97389,0,3.5604610452722496,t,Private room
15,1.0,83.0,8.0,5.0,40.70652,-73.90286,333,8.722157645534496,f,Private room
17,4.0,420.0,35.0,4.83,40.76561,-73.97729,274,6.358755133746603,t,Entire home/apt
20,2.0,448.0,771.0,4.56,40.70797,-74.00683,245,0.5335153524203726,t,Entire home/apt
24,2.0,99.0,28.0,4.72,40.65953,-73.89367,365,11.168009162601559,t,Private room
25,2.0,90.0,28.0,4.66,40.65797,-73.89294,365,11.312770533987683,t,Private room
27,5.0,170.0,3.0,4.77,40.68455584344908,-73.93963415175676,275,6.413220128931293,f,Entire home/apt
28,2.0,175.0,1.0,4.52,40.76724,-73.98664,71,6.277399243183777,f,Entire home/apt
29,2.0,90.0,6.0,4.66,40.68294,-73.95682,244,5.307686176290246,f,Private room
32,3.0,232.0,1.0,4.92,40.74757,-73.94571,203,6.389919645833167,t,Private room
33,2.0,151.0,7.0,4.58,40.67946,-73.95417,286,5.7261389776862694,f,Entire home/apt
34,2.0,115.0,2.0,4.83,40.73535,-73.95584,300,4.919935801098128,f,Entire home/apt
37,4.0,155.0,85.0,4.89,40.7836,-73.95221,329,9.091075165360333,f,Entire home/apt
39,4.0,170.0,6.0,5.0,40.64264,-74.01423,269,7.824169003280725,f,Entire home/apt
43,1.0,57.0,3.0,4.66,40.69121,-73.96804,335,3.9966202835921383,f,Private room
44,1.0,227.0,2.0,4.81,40.72372723229208,-73.97625850509617,226,2.7901655651171944,f,Private room
45,1.0,202.0,4.0,4.74,40.72281,-73.98501,28,2.0953901066349134,f,Private room
48,2.0,576.0,3.0,4.41,40.76967,-73.94831,365,7.982777305648675,f,Private room
49,3.0,151.0,2.0,4.95,40.74261,-74.00353,353,3.3293084823304997,t,Private room
51,5.0,444.0,2.0,4.67,40.69418,-73.94186,198,5.787978278373219,f,Entire home/apt
56,4.0,200.0,2.0,4.63,40.73917,-74.00207,290,2.9589409478398085,f,Entire home/apt
57,2.0,95.0,1.0,4.48,40.71802,-73.95724,306,4.152735021448058,f,Entire home/apt
