Feature,Coefficient,Abs_Coefficient
room_type_Shared room,-0.7732379868890836,0.7732379868890836
room_type_Private room,-0.4245146182686776,0.4245146182686776
neighbourhood_group_cleansed_Manhattan,0.2661265611202697,0.2661265611202697
accommodates,0.20307233111638737,0.20307233111638737
neighbourhood_group_cleansed_Staten Island,0.18526679337403196,0.18526679337403196
neighbourhood_group_cleansed_Brooklyn,0.16070477986922163,0.16070477986922163
room_type_Hotel room,0.14240493326085865,0.14240493326085865
distance_to_center,-0.1402707884092285,0.1402707884092285
instant_bookable,0.12907331926048374,0.12907331926048374
neighbourhood_group_cleansed_Queens,0.08293841668739162,0.08293841668739162
beds,0.054417421015392695,0.054417421015392695
bedrooms,-0.0417948207988985,0.0417948207988985
host_total_listings_count,0.03684624155174132,0.03684624155174132
bathrooms,-0.003966734394194732,0.003966734394194732
