feature,coefficient,p_value,std_err
const,4.967179783453286,0.0,0.0038713522077040334
accommodates,0.2030723311163843,2.9041013819101554e-228,0.006192403507494618
bathrooms,-0.003966734394195196,0.3460295549209408,0.004209421510156814
bedrooms,-0.04179482079889779,2.4142671554078958e-17,0.004927679539099055
beds,0.0544174210153921,3.3464117672079414e-20,0.005902286842602772
host_total_listings_count,0.036846241551741085,6.053696608691389e-20,0.004024449739653646
distance_to_center,-0.14027078840922783,3.829661993270361e-127,0.00579471542941135
room_type_Hotel room,0.00530242898246065,0.17251401293639707,0.0038867507298849246
room_type_Private room,-0.2103743507945895,0.0,0.004657997623441001
room_type_Shared room,-0.07261428352336613,2.47832591939133e-75,0.003932722917235795
neighbourhood_group_cleansed_Brooklyn,0.07742812423726085,9.998166088556795e-15,0.009994945103371424
neighbourhood_group_cleansed_Manhattan,0.13095134924775723,4.391967979958765e-31,0.011270074125511622
neighbourhood_group_cleansed_Queens,0.030899956836600972,0.00011683296824685172,0.008018377300007474
neighbourhood_group_cleansed_Staten Island,0.02285794554554972,6.042591794934709e-07,0.004579014078262629
instant_bookable_True,0.12907331926048293,5.441996058336434e-228,0.003938362824439284
